site_type,Coordination_Number,Pt1,Fe1,Co1,Ni1,Cu1,Zn1,Pt2,Fe2,Co2,Ni2,Cu2,Zn2,Pt3,Fe3,Co3,Ni3,Cu3,Zn3,Pt_Ratio,Fe_Ratio,Co_Ratio,Ni_Ratio,Cu_Ratio,Zn_Ratio
ZnZn,8,0,0,0,0,0,2,0,0,0,1,3,2,3,0,0,1,0,2,0.25,0.03125,0.03125,0.15625,0.25,0.28125
CuCu,8,0,0,0,0,2,0,0,0,0,1,1,4,3,0,0,1,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
ZnZn,8,0,0,0,0,0,2,0,0,0,1,3,2,3,0,0,0,1,2,0.25,0.03125,0.03125,0.15625,0.25,0.28125
NiZn,8,0,0,0,1,0,1,0,0,0,0,3,3,3,0,0,1,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
NiCu,8,0,0,0,1,1,0,0,0,0,0,2,4,3,0,0,1,1,1,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtZn,8,1,0,0,0,0,1,3,0,1,1,1,0,0,0,0,1,3,2,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,0,0,1,3,2,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,0,0,1,2,3,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,0,0,0,2,4,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,0,0,1,2,3,0.25,0.03125,0.03125,0.15625,0.25,0.28125
PtZn,8,1,0,0,0,0,1,3,0,1,1,1,0,1,0,0,1,1,3,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtZn,8,1,0,0,0,0,1,3,0,1,1,1,0,0,1,0,2,1,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtCu,8,1,0,0,0,1,0,3,0,1,1,0,1,0,1,0,1,1,3,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtCo,8,1,0,1,0,0,0,3,0,0,1,1,1,0,1,0,2,1,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,1,0,3,1,1,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtNi,8,1,0,0,1,0,0,3,0,1,0,1,1,0,1,0,3,0,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
PtCu,8,1,0,0,0,1,0,3,0,1,1,0,1,0,1,0,2,1,2,0.25,0.03125,0.09375,0.25,0.0625,0.3125
NiZn,8,0,0,0,1,0,1,0,0,1,2,0,3,3,0,0,1,1,1,0.25,0.03125,0.09375,0.25,0.0625,0.3125
ZnZn,8,0,0,0,0,0,2,0,0,1,3,0,2,3,0,1,0,1,1,0.25,0.03125,0.09375,0.25,0.0625,0.3125
ZnZn,8,0,0,0,0,0,2,0,0,1,3,0,2,3,0,0,1,1,1,0.25,0.03125,0.09375,0.25,0.0625,0.3125
NiNi,8,0,0,0,2,0,0,0,0,1,1,0,4,3,0,1,1,1,0,0.25,0.03125,0.09375,0.25,0.0625,0.3125
